Ticker,Nazwa,Pakiet,Sector,Industry
NTT,NTTSYSTEM,4464000,Technology,Computer Hardware
ODL,ODLEWNIE,7600000,Industrials,Metal<br>Fabrication
OEX,OEX,1190000,Communication Services,Telecom Services
OND,ONDE,17909000,Industrials,Engineering & Construction
ONO,ONESANO,32235000,Basic Materials,Chemicals
OPN,OPONEO.PL,8249000,Consumer Cyclical,Auto Parts
OPM,OPTEAM,1817000,Technology,Information Technology<br>Services
OPL,ORANGEPL,647357000,Communication Services,Telecom Services
OTS,OTLOG,4009000,Industrials,Integrated Freight<br>& Logistics
OTM,OTMUCHOW,10007000,Consumer Defensive,Packaged Foods
OVO,OVOSTAR,1378000,Consumer Defensive,Farm Products
PMP,PAMAPOL,5042000,Consumer Defensive,Packaged Foods
NVA,PANOVA,5196000,Industrials,Engineering & Construction
PAS,PASSUS,589000,Technology,Information Technology<br>Services
PAT,PATENTUS,5959000,Industrials,Farm & Heavy<br>Construction Machinery
PCR,PCCROKITA,3124000,Basic Materials,Chemicals
PCF,PCFGROUP,8912000,Communication Services,Electronic Gaming & Multimedia
PBX,PEKABEX,9364000,Industrials,Engineering & Construction
PEO,PEKAO,176379000,Financial Services,Banks—Regional
PEP,PEP,16867000,Utilities,Independent<br>Power Producers
PCO,PEPCO,159405000,Consumer Defensive,Discount Stores
PPS,PEPEES,24187000,Consumer Defensive,Packaged Foods
PGE,PGE,859413000,Utilities,Regulated Electric
PHR,PHARMENA,3308000,Healthcare,Biotechnology
PHN,PHN,14374000,Real Estate,Services
PEN,PHOTON,19409000,Technology,Solar
PJP,PJPMAKRUM,2050000,Industrials,Engineering & Construction
PKN,PKNORLEN,539862000,Energy,Oil & Gas Integrated
PKO,PKOBP,857593000,Financial Services,Banks—Regional
PKP,PKPCARGO,30002000,Industrials,Integrated Freight<br>& Logistics
PLW,PLAYWAY,1200000,Communication Services,Electronic Gaming & Multimedia
PLZ,PLAZACNTR,2900000,Real Estate,Development
PGM,PMPG,2773000,Communication Services,Publishing
PCE,POLICE,20551000,Basic Materials,Agricultural Inputs
PXM,POLIMEXMS,85118000,Industrials,Engineering & Construction
PTG,POLTREG,2131000,Healthcare,Biotechnology
PWX,POLWAX,15534000,Basic Materials,Specialty<br>Chemicals
PRI,PRAGMAINK,1679000,Financial Services,Credit Services
PRM,PROCHEM,1005000,Industrials,Engineering & Construction
PRT,PROTEKTOR,6167000,Consumer Cyclical,Footwear & Accessories
PUR,PURE,2704000,Healthcare,Biotechnology
PZU,PZU,568305000,Financial Services,Insurance—Property & Casualty
QRS,QUERCUS,28084000,Financial Services,Asset Management
RAE,RAEN,20311000,Utilities,Renewable
RBW,RAINBOW,8122000,Consumer Cyclical,Travel<br<Services
RNK,RANKPROGR,20932000,Real Estate,Diversified
RWL,RAWLPLUG,11916000,Industrials,Tools<br>& Accessories
RLP,RELPOL,5398000,Industrials,Electrical Equipment<br>& Parts
RMK,REMAK,1252000,Industrials,Specialty<br>Industrial Machinery
RES,RESBUD,10451000,Industrials,Engineering & Construction
RPC,ROPCZYCE,1165000,Basic Materials,Building Materials
RVU,RYVU,14939000,Healthcare,Biotechnology
SNK,SANOK,23914000,Consumer Cyclical,Auto Parts
SPL,SANPL,33308000,Financial Services,Banks—Regional
SAN,SANTANDER,1124000,Financial Services,Banks—Diversified
SNW,SANWIL,8839000,Consumer Cyclical,Footwear & Accessories
STS,SATIS,9700000,Technology,Scientific & Technical<br>Instruments
SCP,SCPFL,1375000,Healthcare,Diagnostics & Research
SWG,SECOGROUP,4017000,Industrials,Specialty<br>Industrial Machinery
SEK,SEKO,2494000,Consumer Defensive,Packaged Foods
SEL,SELENAFM,5021000,Basic Materials,Specialty<br>Chemicals
SLV,SELVITA,14360000,Healthcare,Diagnostics & Research
SES,SESCOM,298000,Industrials,Specialty<br>Business Services
SFS,SFINKS,29949000,Consumer Cyclical,Restaurants
SHO,SHOPER,7731000,Technology,Software—Application
SVRS,SILVAIR-REGS,7143000,Technology,Software—Application
SFG,SILVANO,812000,Consumer Cyclical,Apparel Manufacturing
SIM,SIMFABRIC,4384000,Communication Services,Electronic Gaming & Multimedia
SKH,SKARBIEC,2653000,Financial Services,Asset Management
SKL,SKYLINE,7475000,Financial Services,Capital Markets
SKA,SNIEZKA,4992000,Basic Materials,Specialty<br>Chemicals
SVE,SNTVERSE,44775000,Healthcare,Biotechnology
SON,SONEL,4772000,Technology,Scientific & Technical<br>Instruments
SPH,SOPHARMA,68000,Healthcare,Medical Distribution
SPR,SPYROSOFT,196000,Technology,Software—Application
STX,STALEXP,95938000,Industrials,Infrastructure Operations
STP,STALPROD,1937000,Basic Materials,Steel
STF,STALPROFI,7716000,Industrials,Industrial Distribution
ZUK,STAPORKOW,1738000,Industrials,Specialty<br>Industrial Machinery
STH,STSHOLDING,47106000,Consumer Cyclical,Gambling
SNX,SUNEX,5017000,Technology,Solar
SGN,SYGNITY,4974000,Technology,Information Technology<br>Services
SNT,SYNEKTIK,4165000,Healthcare,Medical<br>Devices
TLX,TALEX,508000,Technology,Information Technology<br>Services
TAR,TARCZYNSKI,2835000,Consumer Defensive,Packaged Foods
TPE,TAURONPE,1043590000,Utilities,Renewable
THG,TENDERHUT,325000,Technology,Software—Application
TSG,TESGAS,5063000,Utilities,Regulated Gas
TIM,TIM,13994000,Technology,Electronics<br>& Computer Distribution
TOR,TORPOL,14241000,Industrials,Engineering & Construction
TOA,TOYA,37105000,Industrials,Tools<br>& Accessories
TRN,TRANSPOL,7170000,Industrials,Trucking
TEN,TSGAMES,4847000,Communication Services,Electronic Gaming & Multimedia
ULM,ULMA,1288000,Industrials,Rental & Leasing Services
ULG,ULTGAMES,2444000,Communication Services,Electronic Gaming & Multimedia
UNF,UNFOLD,3850000,Financial Services,Asset Management
UNI,UNIBEP,12870000,Industrials,Engineering & Construction
UCG,UNICREDIT,3075000,Financial Services,Banks—Regional
U2K,UNIMA,878000,Communication Services,Telecom Services
UNT,UNIMOT,2987000,Utilities,Regulated Gas
URT,URTESTE,114000,Healthcare,Biotechnology
VRC,VERCOM,5714000,Technology,Software—Application
VGO,VIGOPHOTN,453000,Technology,Electronic<br>Components
VIN,VINDEXUS,6635000,Industrials,Specialty<br>Business Services
VVD,VIVID,15280000,Communication Services,Electronic Gaming & Multimedia
VOT,VOTUM,5150000,Industrials,Specialty<br>Business Services
VOX,VOXEL,5944000,Healthcare,Diagnostics & Research
VRG,VRG,167423000,Consumer Cyclical,Apparel Manufacturing
WXF,WARIMPEX,6072000,Real Estate,Services
WAS,WASKO,16450000,Communication Services,Telecom Services
WWL,WAWEL,510000,Consumer Defensive,Confectioners
WLT,WIELTON,20195000,Industrials,Farm & Heavy<br>Construction Machinery
WIK,WIKANA,4379000,Real Estate,Development
WPL,WIRTUALNA,17951000,Technology,Software<br>Infrastructure
WTN,WITTCHEN,4533000,Consumer Cyclical,Apparel Retail
WOJ,WOJAS,1767000,Consumer Cyclical,Footwear & Accessories
XTB,XTB,45753000,Financial Services,Capital Markets
XTP,XTPL,909000,Technology,Electronic<br>Components
ZMT,ZAMET,46149000,Basic Materials,Steel
ZEP,ZEPAK,17299000,Utilities,Independent<br>Power Producers
ZRE,ZREMB,9313000,Basic Materials,Steel
ZUE,ZUE,8629000,Industrials,Infrastructure Operations
